Drug,GENE
7-Ethyl-10-hydroxycamptothecin,HDAC2
7-Ethyl-10-hydroxycamptothecin,UGT1A8
7-Ethyl-10-hydroxycamptothecin,HDAC7
7-Ethyl-10-hydroxycamptothecin,UGT1A4
7-Ethyl-10-hydroxycamptothecin,HDAC10
7-Ethyl-10-hydroxycamptothecin,BCHE
7-Ethyl-10-hydroxycamptothecin,UGT1A6
7-Ethyl-10-hydroxycamptothecin,HDAC5
7-Ethyl-10-hydroxycamptothecin,HDAC4
7-Ethyl-10-hydroxycamptothecin,UGT1A3
7-Ethyl-10-hydroxycamptothecin,HDAC9
7-Ethyl-10-hydroxycamptothecin,ABCC1
7-Ethyl-10-hydroxycamptothecin,UGT1A1
7-Ethyl-10-hydroxycamptothecin,HDAC11
7-Ethyl-10-hydroxycamptothecin,HDAC6
7-Ethyl-10-hydroxycamptothecin,ABCG2
7-Ethyl-10-hydroxycamptothecin,UGT1A10
7-Ethyl-10-hydroxycamptothecin,CES1
Clofarabine,POLE
Clofarabine,APBB1
Clofarabine,RRM2B
Clofarabine,POLD1
Gefitinib,PBK
Gefitinib,CRKL
Gefitinib,TNK2
Methotrexate,IKZF1
Methotrexate,TARDBP
Abiraterone,AR
Docetaxel,EGFR
Docetaxel,TLE3
Docetaxel,CYP19A1
Docetaxel,TUB
Docetaxel,PGP
Docetaxel,STK11
Docetaxel,FGFR1
Docetaxel,TUBB3
Docetaxel,GAS6
Docetaxel,BIRC5
Docetaxel,IGF2
Erlotinib hydrochloride,MAPK1
Erlotinib hydrochloride,FGFR4
Erlotinib hydrochloride,PTEN
Erlotinib hydrochloride,NF2
Erlotinib hydrochloride,PIK3CA
Erlotinib hydrochloride,NRG1
Erlotinib hydrochloride,NF1
Erlotinib hydrochloride,ERRFI1
Erlotinib hydrochloride,IGF1R
Lapatinib ditosylate,EEF2K
Lapatinib ditosylate,NRG1
Lapatinib ditosylate,BIRC5
Lapatinib ditosylate,NF2
Lapatinib ditosylate,CDKN1B
Sorafenib tosylate,FGF3
Sorafenib tosylate,ARID1A
Sorafenib tosylate,HMOX1
Sorafenib tosylate,VHL
Sorafenib tosylate,NF1
Lenalidomide,CUL4A
Lenalidomide,DDB1
Lenalidomide,RBX1
Bortezomib,CCND1
Bortezomib,KLK4
Bortezomib,PRB2
Tretinoin,NPM1
Decitabine,TP53
Decitabine,GSTP1
Decitabine,MUC2
Decitabine,KRAS
Decitabine,IL2RA
Teniposide,TOP2B
Teniposide,ABCC1
Teniposide,H2AW
Melphalan,FANCC
Idarubicin hydrochloride,TOP2A
Nilotinib,NF1
Fludarabine,IKZF1
Fludarabine,ADA
Mercaptopurine,PRPS1
Thioguanine,PRPS1
Thioguanine,NT5C2
Thioguanine,MYC
Tamoxifen citrate,TFF3
Tamoxifen citrate,NF1
Tamoxifen citrate,AURKA
Dasatinib,ARID1A
Dasatinib,NF1
Dasatinib,CRKL
Dasatinib,CSF3R
Vandetanib,SRC
Vandetanib,EPHB3
Vandetanib,ERBB3
Vandetanib,EPHA1
Vandetanib,ERBB2
Vandetanib,EPHA10
Vandetanib,KRAS
Vandetanib,EPHB6
Vandetanib,EPHA7
Sirolimus,ERBB2
Sirolimus,FLCN
Sirolimus,TSC1
Sirolimus,NF1
Sirolimus,PTEN
Sirolimus,JAK2
Sirolimus,OPRK1
Sirolimus,RHEB
Vinorelbine tartrate,RRM1
Vinorelbine tartrate,TUBA3E
Vinorelbine tartrate,TUBA1C
Vinorelbine tartrate,TUBA1A
Vinorelbine tartrate,TUBB1
Vinorelbine tartrate,TUBA4A
Vinorelbine tartrate,TUBB4B
Vinorelbine tartrate,TUBA3D
Vinorelbine tartrate,TUBB3
Vinorelbine tartrate,TUBA3C
Vinorelbine tartrate,TUB
Vinorelbine tartrate,TUBB6
Vinorelbine tartrate,SMARCA4
Vinorelbine tartrate,TUBB4A
Vinorelbine tartrate,TUBB2B
Vinorelbine tartrate,XRCC1
Vinorelbine tartrate,TUBB8
Vinorelbine tartrate,TUBA1B
Sunitinib,HIF1A
Sunitinib,CA9
Sunitinib,EWSR1
Sunitinib,BAP1
Sunitinib,MKI67
Sunitinib,PTPN12
Sunitinib,PBRM1
Sunitinib,HMOX1
Sunitinib,KDM5C
Sunitinib,VEGFC
Sunitinib,PTPRB
Romidepsin,BIRC5
Romidepsin,CTAG1B
Everolimus,TSC2
Everolimus,CTNNB1
Everolimus,NF1
Everolimus,FLCN
Everolimus,KDM5C
Everolimus,PBRM1
Everolimus,NF2
Everolimus,TSC1
Everolimus,BAP1
Ixabepilone,TUBB6
Ixabepilone,TUBB2B
Ixabepilone,TUBA1A
Ixabepilone,TUBA1B
Ixabepilone,TUBB4B
Ixabepilone,TUBA1C
Ixabepilone,TUB
Ixabepilone,TUBA3E
Ixabepilone,TUBB8
Ixabepilone,TUBA3D
Ixabepilone,TUBA4A
Axitinib,VHL
Cabazitaxel,TUBA3D
Cabazitaxel,TUBA1B
Cabazitaxel,TUBA1A
Cabazitaxel,TUBB8
Cabazitaxel,TUBB4B
Cabazitaxel,TUBA1C
Cabazitaxel,TUBB2A
Cabazitaxel,TUBB3
Cabazitaxel,TUBB6
Cabazitaxel,TUBA3E
Cabazitaxel,TUB
Cabazitaxel,TUBB2B
Cabazitaxel,IGF2
Pazopanib hydrochloride,LCK
Pazopanib hydrochloride,KIT
Pazopanib hydrochloride,FGFR1
Pazopanib hydrochloride,ITK
Pazopanib hydrochloride,KDR
Pazopanib hydrochloride,FGFR3
Pazopanib hydrochloride,CSF1R
Pazopanib hydrochloride,FLT1
Pazopanib hydrochloride,FLT4
Pazopanib hydrochloride,PDGFRB
Pazopanib hydrochloride,PDGFRA
Crizotinib,AREG
Crizotinib,NTRK1
Crizotinib,PTPN12
Vinorelbine tartrate,AR
Vinorelbine tartrate,JUN
Eribulin mesylate,TUBA3E
Eribulin mesylate,TUBA3D
Eribulin mesylate,TUBB3
Eribulin mesylate,TUBB1
Eribulin mesylate,TUBB2A
Eribulin mesylate,TUBA1C
Eribulin mesylate,TUBA4A
Eribulin mesylate,TUBB4B
Eribulin mesylate,TUBA1A
Eribulin mesylate,TUBB8
Eribulin mesylate,CYP3A4
Eribulin mesylate,TUBB6
Eribulin mesylate,TUBB
Eribulin mesylate,TUBB2B
Eribulin mesylate,TUBA1B
Ruxolitinib,IL7R
Ruxolitinib,VHL
Ruxolitinib,SH2B3
Ruxolitinib,CRLF2
Ruxolitinib,PLAUR
Vemurafenib,RAC1
Vemurafenib,NF1
Vemurafenib,MET
Vemurafenib,CDKN2A
Vemurafenib,SOX10
Vemurafenib,MITF
Vemurafenib,ATXN1L
Vemurafenib,PREX2
Vemurafenib,MAP2K2
Vemurafenib,AKT3
Vemurafenib,PIK3R2
Vemurafenib,STAG3
Vemurafenib,CIC
Pemetrexed Disodium,EGFR
Pemetrexed Disodium,ALK
Quinacrine hydrochloride,PLA2G1B
Cisplatin,TERT
Fluorouracil,TERT
Imatinib mesylate,MCL1
Zoledronic acid,MMP2
Zoledronic acid,COL1A1
Zoledronic acid,TNFRSF11B
Zoledronic acid,VDR
Zoledronic acid,SPP1
Zoledronic acid,TNFRSF11A
Oxaliplatin,ERN1
Oxaliplatin,DKK1
Oxaliplatin,FOXC2
Oxaliplatin,ZEB1
Paclitaxel,PON1
Paclitaxel,FGFR1
Paclitaxel,ITGB3
Paclitaxel,ABL1
Docetaxel,TUBB2B
Docetaxel,TUBB4B
Docetaxel,TUBB8
Docetaxel,TUBA1A
Docetaxel,TUBA1B
Docetaxel,TUBA1C
Docetaxel,TUBA3D
Docetaxel,TUBB6
Docetaxel,TUBA4A
Docetaxel,TUBB2A
Docetaxel,TUBA3E
Erlotinib hydrochloride,PTPRF
Crizotinib,AURKAIP1
Tamoxifen citrate,EBPL
Cisplatin,MIR21
Dasatinib,MYT1
Fluorouracil,PSMB3P
Cisplatin,RARS
Bendamustine hydrochloride,BIRC2
Bendamustine hydrochloride,BIRC3
Bendamustine hydrochloride,CASP3
Bendamustine hydrochloride,CASP6
Bendamustine hydrochloride,CASP7
Bendamustine hydrochloride,CASP8
Bendamustine hydrochloride,CASP9
Bendamustine hydrochloride,DAXX
Bendamustine hydrochloride,DIABLO
Bendamustine hydrochloride,GLB1
Bendamustine hydrochloride,PARP1
Bendamustine hydrochloride,PAWR
Bendamustine hydrochloride,TP53
Bendamustine hydrochloride,XIAP
